benchmark_split,model,split,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,auroc_macro_ovr,labels
pmid_disjoint,logistic_regression_mechanism,train,3257,0.6432,0.7643,0.7191,0.6534,0.6211,0.8099,"Enhance,Induce,Inhibit"
pmid_disjoint,logistic_regression_mechanism,test,931,0.5929,0.7119,0.7038,0.6072,0.6699,0.7464,"Enhance,Induce,Inhibit"
pmid_disjoint,logistic_regression_mechanism,val,465,0.6172,0.6136,0.599,0.6271,0.6151,,"Enhance,Induce,Inhibit"
pmid_disjoint,tree_baseline_mechanism,train,3257,0.9733,0.9812,0.9743,0.9734,0.2277,0.9983,"Enhance,Induce,Inhibit"
pmid_disjoint,tree_baseline_mechanism,test,931,0.6649,0.4146,0.4112,0.6597,0.5797,0.8181,"Enhance,Induce,Inhibit"
pmid_disjoint,tree_baseline_mechanism,val,465,0.7226,0.6706,0.6762,0.7165,0.5382,,"Enhance,Induce,Inhibit"
pmid_disjoint,sequence_embedding_logistic,train,3257,0.6911,0.7211,0.558,0.7004,0.6459,0.8347,"Enhance,Induce,Inhibit"
pmid_disjoint,sequence_embedding_logistic,test,931,0.5295,0.3235,0.334,0.5498,1.4661,0.5315,"Enhance,Induce,Inhibit"
pmid_disjoint,sequence_embedding_logistic,val,465,0.5054,0.4945,0.3362,0.5348,1.7539,,"Enhance,Induce,Inhibit"
pmid_disjoint,combined_mechanism_aware,train,3257,0.7799,0.8529,0.8248,0.7849,0.4429,0.9111,"Enhance,Induce,Inhibit"
pmid_disjoint,combined_mechanism_aware,test,931,0.6316,0.4721,0.4884,0.6418,1.2793,0.7028,"Enhance,Induce,Inhibit"
pmid_disjoint,combined_mechanism_aware,val,465,0.5441,0.5395,0.5267,0.5566,1.327,,"Enhance,Induce,Inhibit"
pmid_disjoint,mlp_sequence_embedding,train,3257,0.7593,0.6041,0.6646,0.7229,0.5103,0.8389,"Enhance,Induce,Inhibit"
pmid_disjoint,mlp_sequence_embedding,test,931,0.6337,0.333,0.3075,0.5639,0.9516,0.5464,"Enhance,Induce,Inhibit"
pmid_disjoint,mlp_sequence_embedding,val,465,0.572,0.4463,0.4057,0.5092,0.9089,,"Enhance,Induce,Inhibit"
random,majority,train,3257,0.6644,0.3333,0.2661,0.5305,12.0957,0.5,"Enhance,Induce,Inhibit"
random,majority,test,931,0.6445,0.3333,0.2613,0.5051,12.8147,0.5,"Enhance,Induce,Inhibit"
random,majority,val,465,0.6645,0.3333,0.2661,0.5306,12.0921,0.5,"Enhance,Induce,Inhibit"
random,logistic_regression_mechanism,train,3257,0.6279,0.7582,0.6963,0.6396,0.6236,0.8059,"Enhance,Induce,Inhibit"
