split_col	model	feature_family	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	threshold_from_valid	macro_f1	balanced_accuracy	auroc	auprc	auroc_ci_low	auroc_ci_high	auprc_ci_low	auprc_ci_high
random_split	majority_baseline	none	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.6905829596412556	0.40352697095435686	0.5	0.5	0.6765217391304348	0.5	0.5	0.6347391304347826	0.7095652173913043
random_split	degree_only	degree	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.3977500100130915	0.5563047353328683	0.5583589020648478	0.6494112281283688	0.8158838309941403	0.6044129184949905	0.6920012711158304	0.780084674015925	0.8562212297070321
random_split	logistic	combined	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.48161422104748003	0.7117663142544659	0.7291096553058574	0.7786577107001688	0.8635098618799484	0.7414506223935833	0.8214143608960459	0.8236595277888182	0.9008491564117763
random_split	random_forest	combined	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.5574528461063445	0.8090196035491513	0.7946554440666722	0.9107029328026094	0.9588123285566688	0.8903362796857873	0.9296187838730938	0.9458871717733078	0.9699568681355252
random_split	site_window_logistic	site	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.3322176960573618	0.5334703973280398	0.5388230090941759	0.5898360836995882	0.751145830356773	0.5354365385629425	0.6363477804026852	0.7000417725213243	0.8043162294939166
random_split	sequence_mlp	pair	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.5124443173408508	0.753881006817209	0.7521215136689057	0.8439063493379774	0.9158537117991487	0.8109739764212144	0.8738657359960762	0.8930176572721766	0.9373917457118012
random_split	mechanism_logistic	mechanism	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.4392142021470687	0.5887361443350478	0.5896771429361196	0.645714127760732	0.7858340876445	0.5963678516991732	0.6877002665374129	0.7363204449313844	0.8316187835252953
random_split	combined_shuffled_labels	negative_control	2676	573	575	0.6905829596412556	0.7137870855148342	0.6765217391304348	0.4961515976770979	0.47816805992279576	0.4848591646626309	0.490518837935705	0.6863503465069544	0.4391939637142358	0.5356016737085008	0.6310259124133519	0.7414602662900067
pair_disjoint_split	majority_baseline	none	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.6817332835263354	0.41886409736308317	0.5	0.5	0.7207678883071553	0.5	0.5	0.687565445026178	0.755890052356021
pair_disjoint_split	degree_only	degree	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.4115195071473111	0.590013641470069	0.6145732445520582	0.6473365617433414	0.8351564233340814	0.5998857136579429	0.701487006809352	0.7946848967722082	0.867742527463439
pair_disjoint_split	logistic	combined	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.21215760604441103	0.6547178130511464	0.6597911622276029	0.7063559322033899	0.8348478964002811	0.6545445120077265	0.7409237311550035	0.7908558750965757	0.8720789747044467
pair_disjoint_split	random_forest	combined	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.6332904436953263	0.6820445732849509	0.7160108958837772	0.7760441888619856	0.8981802275057784	0.7364170237122062	0.8164767212282242	0.8712505215020698	0.924366793070135
