model	robust_discovery_score	mean_shield_auprc	worst_shield_auprc	mean_shield_mcc	mean_precision_at_50	evaluated_shield_splits	missing_split_penalty	leakage_penalty
sequence_random_forest	0.8418438134064028	0.865733499846858	0.766947623550066	0.3398165078637896	0.966	10	0.0	0.0
counterfactual_mlp	0.8000890837906773	0.827480286569565	0.6893750135009027	0.23479152404715897	0.9279999999999999	10	0.0	0.0
topology_only	0.7855130835779338	0.8038387780083063	0.6657867883376622	0.23674955659024577	0.916	10	0.0	0.0
motif_only	0.7623527167368335	0.7854542881398648	0.6565824296466815	0.17700458133520805	0.89	10	0.0	0.0
counterfactual_logistic	0.7466875604820984	0.7841477269002124	0.6805972316832276	0.18090957625593798	0.828	10	0.0	0.0
counterfactual_no_ptmchem_logistic	0.7466732516918602	0.7848209096122295	0.6806600679516752	0.17810237508596347	0.828	10	0.0	0.0
sequence_logistic	0.7245590669656654	0.7652138224241002	0.6719158461160415	0.14361724602892278	0.796	10	0.0	0.0
ptm_delta_only	0.68008470821825	0.7225148542844717	0.6243982249659248	0.09861824860811268	0.726	10	0.0	0.0
source_assay_only	0.6748695507071019	0.7101534105221371	0.6150616387235589	0.058342763568266634	0.75	10	0.0	0.0
