model	mean_auprc	worst_auprc	mean_mcc	mean_ece	gates_available	delta_vs_topology_mean_auprc	delta_vs_sequence_rf_mean_auprc	delta_vs_no_ptmchem_mean_auprc
sequence_random_forest	0.8666914320775125	0.766947623550066	0.34196358457005976	0.07429744593312347	9			
counterfactual_mlp	0.8268385035909189	0.6893750135009027	0.23118740325047218	0.22718868303048292	9	0.02013570521731023	-0.03985292848659361	0.04164720374851916
topology_only	0.8067027983736087	0.6657867883376622	0.24890924442300466	0.1376689009952815	9			
counterfactual_no_ptmchem_logistic	0.7851912998423998	0.6806600679516752	0.17868436039768937	0.260849127171333	9	-0.021511498531208928	-0.08150013223511277	0.0
counterfactual_logistic	0.7844223057863914	0.6805972316832276	0.182948461747346	0.26176827474486336	9	-0.022280492587217315	-0.08226912629112115	-0.0007689940560083874
motif_only	0.7840691038301804	0.6565824296466815	0.17481540377413263	0.20401605739727557	9			
ptm_delta_only	0.7179769178773068	0.6243982249659248	0.09162188968927878	0.20199705131777212	9			
source_assay_only	0.706328313305518	0.6150616387235589	0.06136438633146749	0.19997407723539012	9			
