split_col	model	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	valid_threshold_mcc	auprc	auroc	mcc	macro_f1	balanced_accuracy	brier	ece	precision_at_50	auprc_ci_low	auprc_ci_high
S0_random_split	class_prior	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.6872197309417041	0.7078260869565217	0.5	0.0	0.41446028513238287	0.5	0.20723293948854968	0.020606356014817417	0.64	0.6795217391304348	0.742304347826087
S0_random_split	source_assay_only	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.6899156715317182	0.7891263118224956	0.6309377559377558	0.16280364768424327	0.41712680956362225	0.5688984438984439	0.2333899494616294	0.19000568195582834	0.84	0.7533582041259025	0.834669174991148
S0_random_split	topology_only	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.6756138237560861	0.8401814808654109	0.6690066690066689	0.26783034827953983	0.5234768195896244	0.6336799461799462	0.21512444750974277	0.14861192735046128	0.98	0.8120269530923588	0.8694561568594985
S0_random_split	motif_only	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.4968624517503596	0.8583482279061763	0.7190022815022814	0.28543831668914676	0.615145488169669	0.6568971568971569	0.22099959874756045	0.19155301157422427	0.96	0.825340125459858	0.8882966772521514
S0_random_split	sequence_logistic	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.31387636339026004	0.8589150167278203	0.7532467532467534	0.38083157776808485	0.6904129658456186	0.6900813150813151	0.20716580645123042	0.1504481394555709	0.84	0.8235575565007481	0.8959293627451779
S0_random_split	sequence_random_forest	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.6210747905533247	0.9490583707887188	0.8851058851058852	0.5490893325309584	0.7676767676767677	0.7926392301392301	0.12427835178880302	0.06273436100904246	1.0	0.9359833753919581	0.9623712315961654
S0_random_split	ptm_delta_only	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.4882174040315238	0.8116576964845114	0.6721583596583597	0.25784538218978065	0.6129532617284673	0.6408388908388909	0.23050540928572272	0.19550460061138833	0.88	0.7635634439819315	0.8552804171697492
S0_random_split	counterfactual_no_ptmchem_logistic	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.7467855206007687	0.8827432757694547	0.7791330291330291	0.3943770358962821	0.6641153643341827	0.7168012168012168	0.19945873986449486	0.1477546134659485	0.92	0.8531738839644456	0.9118841618051202
S0_random_split	counterfactual_logistic	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.7472541068824283	0.8828654540606341	0.7790452790452791	0.3943770358962821	0.6641153643341827	0.7168012168012168	0.19950401599471096	0.147818823092281	0.92	0.8469669229017964	0.9133716837934244
S0_random_split	counterfactual_mlp	2676	573	575	0.6872197309417041	0.6980802792321117	0.7078260869565217	0.6769078445434571	0.9352173980928297	0.8628027378027379	0.5290925509063947	0.763569970839982	0.7559889434889435	0.16416490266262065	0.15425926370465243	1.0	0.9174785668089588	0.9518765961828706
S1_cold_homology_split	class_prior	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.6802390735898394	0.7242582897033158	0.5	0.0	0.4200404858299595	0.5	0.20164591088658856	0.04401921611347648	0.76	0.6858638743455497	0.7626527050610821
