claim	split_col	model	baseline	model_auprc	baseline_auprc	auprc_margin	mcc	ece	passes_gate
prospective temporal discovery	S7_temporal_prospective_split	counterfactual_no_ptmchem_logistic	topology_only	0.8163434512529926	0.7848226187768719	0.0315208324761207	0.2849146731466038	0.21905483967042433	True
prospective temporal discovery	S7_temporal_prospective_split	ptm_delta_only	topology_only	0.6290692087749672	0.7848226187768719	-0.15575341000190468	0.020930744439698768	0.19821834016561857	False
prospective temporal discovery	S7_temporal_prospective_split	sequence_random_forest	topology_only	0.8680583815647765	0.7848226187768719	0.08323576278790468	0.35312180950439737	0.07797841673027114	True
prospective temporal discovery	S7_temporal_prospective_split	sequence_logistic	topology_only	0.7894352951270022	0.7848226187768719	0.004612676350130296	0.23133258004761337	0.1932169961352179	False
topology-shielded network discovery	S8_topology_shielded_split	counterfactual_mlp	topology_only	0.6893750135009027	0.6657867883376622	0.02358822516324044	0.13202862962723014	0.2448941790230611	True
topology-shielded network discovery	S8_topology_shielded_split	counterfactual_logistic	topology_only	0.6805972316832276	0.6657867883376622	0.01481044334556536	0.15569980831425895	0.3010094967539442	False
topology-shielded network discovery	S8_topology_shielded_split	counterfactual_no_ptmchem_logistic	topology_only	0.6806600679516752	0.6657867883376622	0.014873279614012969	0.15569980831425895	0.30301742056616227	False
topology-shielded network discovery	S8_topology_shielded_split	ptm_delta_only	topology_only	0.6243982249659248	0.6657867883376622	-0.041388563371737463	0.18314747288569994	0.15867289668285742	False
topology-shielded network discovery	S8_topology_shielded_split	sequence_random_forest	topology_only	0.766947623550066	0.6657867883376622	0.10116083521240371	0.305830176838124	0.1032086736332765	True
topology-shielded network discovery	S8_topology_shielded_split	sequence_logistic	topology_only	0.6719158461160415	0.6657867883376622	0.006129057778379243	0.15612186116673502	0.2927165412554213	False
full-shield PTM-PPI discovery	S9_full_shield_split	counterfactual_mlp	topology_only	0.8854912017499403	0.8976331814168939	-0.012141979666953517	0.26066564858007646	0.22500455535519182	False
full-shield PTM-PPI discovery	S9_full_shield_split	counterfactual_logistic	topology_only	0.8587954831665012	0.8976331814168939	-0.03883769825039263	0.1869260684870779	0.24550813155067955	False
full-shield PTM-PPI discovery	S9_full_shield_split	counterfactual_no_ptmchem_logistic	topology_only	0.8589549536419473	0.8976331814168939	-0.03867822777494656	0.19044857370364354	0.24782777159259467	False
full-shield PTM-PPI discovery	S9_full_shield_split	ptm_delta_only	topology_only	0.7786688646701174	0.8976331814168939	-0.11896431674677643	0.04777240740004047	0.24200060107796809	False
full-shield PTM-PPI discovery	S9_full_shield_split	sequence_random_forest	topology_only	0.9198862326054709	0.8976331814168939	0.02225305118857701	0.3677055862663385	0.07596447227393739	True
full-shield PTM-PPI discovery	S9_full_shield_split	sequence_logistic	topology_only	0.8116921817017847	0.8976331814168939	-0.08594099971510916	0.06992281815276295	0.24406910643946123	False
